S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
402,10/11/2013,,Working Day,,,South Waziristan,32.3202,69.8597,FATA,Wana-main town of South waziristan,Military,High,Open,Military Convoy,Military,,2,2,2,2,,,19.61,67.3,
403,10/16/2013,,Holiday,Eid Holidays,Evening,D.I. Khan,31.8238,70.9095,KPK,Tehsil Kulachi-50km away from D.I Khan,Residence,High,Open,KP Law Minister Israrullah Gandapur was targeted and killed in the attack,Civilian,,8,9,30,30,,,28.61,83.5,
404,11/16/2013,,Holiday,Weekend,,Bannu,32.935,70.6688,KPK,Near River Kurram bridge,Security Forces,High,Open,Targeted van of security forces,Military,,0,0,7,7,,CMH Bannu,13.09,55.56,
405,11/19/2013,,Working Day,,,North Waziristan,32.9746,70.1456,FATA,Mir Ali town of Miramshah,Park/Ground,High,Open,It is said that Bannu TTP Militant commander Saifuddin was the target,Anti-Militants,,7,7,1,1,,,12.54,54.58,
406,11/22/2013,,Working Day,,10:55 AM,Khyber Agency,34.0211,71.2874,KPK,Torkhan customs office in Landikotal,Office Building,Medium,Closed,,Government Official,,0,0,26,26,,Hayatabad Medical Complex-Peshawar,15.98,60.77,5
407,12/17/2013,,Working Day,,Evening,Rawalpindi,33.6058,73.0437,Punjab,Gracy line area near Airport,Religious,Medium,Open,Sectarian strife,Civilian,Shia,3,3,14,,,Benazir Bhutto Hospital and District Headquarters Hospital,14.39,57.9,
408,12/18/2013,,Working Day,,Evening,North Waziristan,32.9746,70.1456,FATA,Kharoji checkpoint-about three kilometres east of Miranshah,Military,High,Open,Targeted security checkpoint as a revenge for killing Hakimullah Mahsud,Military,,5,5,25,34,,,8.19,46.74,
409,12/20/2013,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Pakhtoon Chowk close to Old Sabzi Mandi-Karachi,Market,Medium,Open,Inspector Shafiq Tanoli was targeted,Police,,2,2,20,21,,Jinnah Hospital,18.74,65.72,
410,1/1/2014,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Qambrani Road in Akhtarabad-on the outskirts of Quetta,Transport,High,Open,Sectarian strife,Civilian,Shia,2,3,30,31,,Bolan Medical Complex,1.6,34.89,
411,1/6/2014,,Working Day,,,Hangu,33.5351,71.0713,KPK,Shia-dominated Ibrahimzai area of Hangu district,Educational,High,Open,Sectarian strife,Civilian,Shia,2,2,2,2,,,9.24,48.62,
412,1/9/2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Near Essa Nagri at the Lyari Expressway,Security Forces,Low,Open,Superintendent of Police (SP) Crime Investigation Department (CID) Chaudhry Aslam was the TTP target,Police,,3,3,7,11,,Agha Khan University Hospital,15.4,59.71,25
413,1/20/2014,,Working Day,,7:45 AM,Rawalpindi,33.6058,73.0437,Punjab,R.A Bazaar,Market,High,Open,TTP claimed this attack as payback for a deadly military raid on the Lal Masjid (Red Mosque) in Rawalpindi in 2007.,Military,,13,13,15,15,,,11.46,52.62,
414,1/23/2014,,,,,Peshawar,34.0043,71.5448,KPK,Kohat road,,,,,,,,6,,8,,,11.11,52,
415,1/29/2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,North Nazimabad Rangers headquarters,Military,High,Open,Rangers targeted by TTP,Military,,3,3,0,1,,Abbasi Shaheed Hospital,19.86,67.76,
416,2/4/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Kocha Risaldar area of Peshawar,Hotel,Medium,Closed,Sectarian strife,Civilian,,9,9,25,50,,Lady Reading Hospital,10.82,51.48,5
417,2/7/2014,,Working Day,,,Khanewal,30.2999,71.9308,Punjab,,Security Forces,Low,Open,Search operation of Security forces,Police,,0,0,5,5,,,13.34,56,
418,2/10/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Essa Khel Garhi area of Peshawar,Residence,Low,Open,Search operation of Security forces,Civilian,,4,4,3,3,,Lady Reading Hospital,12.54,54.56,6
419,2/13/2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Razzaqabad police training college in Karachi's Shah Latif Town,Police,High,Open,TTP revenge,Police,,11,13,36,47,,Jinnah Hospital,20.3,68.55,30
420,2/24/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Iranian consulate in University Town,Security Forces,High,Open,Sectarian strife,Military,,2,3,8,10,,Lady Reading Hospital,16.13,61.03,60
421,3/3/2014,,Working Day,,,Islamabad,33.718,73.0718,Capital,District court in Islamabad sector F-8,Office Building,Medium,Open,Judge with Laal masjid case,Government Official,,11,11,24,29,,Pakistan Institute of Medical Sciences,10.81,51.46,
422,3/14/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Sarband Area on the outskirts of city,Police,High,Open,Police patrol,Police,,8,11,32,45,,Lady Reading Hospital,17.68,63.82,14
423,4/24/2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Near old vegetable market,Market,High,Open,Police Inspector Ishfaq Tanoli was the target of the blast,Police,,2,4,2,15,,,30.56,87.01,
424,5/11/2014,,Holiday,,12:40 PM,Peshawar,34.0043,71.5448,KPK,Inside a mosque in Shahi Bagh area near Tirah IDPs registration center,Religious,High,Closed,IDPs of Tirah Valley,Civilian,,4,5,9,11,,Lady Reading Hospital,25.31,77.56,10
425,6/4/2014,,Working Day,,9:20 AM,Fateh Jang,33.5689,72.6378,Punjab,At a railway crossing at the junction of Fateh Jang and Rawalpindi,Security Forces,Low,Open,Security forces vehicle,Military,,5,5,5,5,,DHQ Fateh Jang,31.06,87.9,2
426,6/8/2014,,Holiday,,,Taftan,28.28,62.35,Balochistan,Hotel in Taftan near the Pakistan-Iran border,Hotel,High,Closed,Shia pilgrims,Civilian,Shia,23,30,7,16,,CMH Quetta,27.51,81.52,
427,6/9/2014,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Jinnah Airport-Airport Road Karachi,,,,,,,,28,,24,,,32.7,90.85,
428,6/19/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Residence of an anti-Taliban peace militia in Matan Adezai area of Peshawar,Residence,Medium,Closed,Farman Ullah-the leader of anti-militants lashkar,Civilian,,1,2,5,5,,Lady Reading Hospital,32.97,91.34,
429,6/24/2014,,Working Day,,,North Waziristan,32.9746,70.1456,FATA,Near a military checkpost in Spinwam village in Shawal valley,Hospital,High,Open,Operation Zarb-e-Azab,Military,,3,3,1,1,,,28.26,82.88,
430,9/24/2014,,Working Day,,,Peshawar,34.0043,71.5448,KPK,,Security Forces,Medium,Open,the target of the bombing appeared to be Brigadier Khalid Javed-the second most senior officer in the Frontier Corps force,Military,,4,5,18,29,,Lady Reading Hospital-Combined Military Hospital,29.84,85.71,45
431,10/4/2014,,Working Day,,Night,Quetta,30.2095,67.0182,Balochistan,Near a girls high school in Hazara Town,Educational,High,Open,Hazara ethnic shitte group,Civilian,Shia,5,5,12,12,,Bolan Medical Complex Hospital-Combined Military Hospital (CMH),26.59,79.86,
432,10/15/2014,,,,,Tirah Valley,33.8679,70.51364,FATA,Pir Mela Area of Tirah Valley in Khyber Agency,,,,,,,,7,,5,,,17.21,62.98,
433,10/23/2014,,Working Day,,,Quetta,30.2095,67.0182,Balochistan,,Park/Ground,Medium,Open,Jamiat Ulema-e-Islam-Fazl (JUI-F) chief Fazlur Rehman had a narrow escape as a suicide bomber detonated explosives near his vehicle outside a political rally in Quetta,Civilian,,2,3,15,20,,,21.4,70.53,
434,11/2/2014,,Holiday,Weekend,,Wagah,31.6047,74.5729,Punjab,Pak-India Border Crossing on Grand Trunk Road,Military,High,Open,,Civilian,,45,55,70,120,,General Hospital Lahore-,22.18,71.92,15
435,12/16/2014,,,,,Peshawar,34.0043,71.5448,KPK,Army Public School,,,,,,,,148,,132,,,9.86,49.75,
436,12/28/2014,,,,,Zhob,31.35,69.45,Balochistan,Ismailzai,,,,,,,,2,,0,,,8.44,47.2,
437,1/30/2015,,,,,Shikarpur,28,68.6667,Sindh,Imambargah,,,,,,,60,62,,39,,,16.23,61.2,
438,2/13/2015,,,,,Peshawar,34.0043,71.5448,KPK,Imambargah,,,,,,,,21,,60,,,17.24,63.02,
439,2/17/2015,,,,,Lahore,31.5451,74.3407,Punjab,Near Police Line,,,,,,,5,9,,,,,18.68,65.62,
440,2/18/2015,,,,,Rawalpindi,33.6,73.0333,Punjab,Qasre-sina Imambargah-kurri road,,,,,,,,5,,6,,,15.25,59.45,
441,3/15/2015,,,,,Lahore,31.5451,74.3407,Punjab,Outside Church,,,,,,,,17,70,72,,,18.63,65.53,
442,3/20/2015,,,,,Karachi,24.9918,66.9911,Sindh,Roadside Qalandria Chowk North Nazimabad,,,,,,,2,3,0,0,,,27,80.6,
443,5/6/2015,,Working Day,,,Kurram Agency,32.9746,70.1456,FATA,outside a high-school football ground in Alizai area of Lower Kurram Agency,,,,,,,2,3,,3,,Ali Zai Hospital,25.98,78.77,
444,5/26/2015,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Orangi Town Faqeer Colony,,,,,Rangers,,1,2,,,,,33.05,91.49,
445,5/26/2015,,Working Day,,,Karachi,24.9918,66.9911,Sindh,Orangi Town Faqeer Colony,,,,,,,,5,,,,,33.05,91.49,
446,5/29/2015,,Working Day,,,Lahore,31.5451,74.3407,Punjab,Kalma Chowk near  Qaddafi Stadium,,,,,,,1,2,,6,,,34.08,93.34,
447,6/6/2015,,Weekend,,,Sargodha,32.0836,72.6711,Punjab,near Ghausia Market Sargodha,,,,,,,,2,,6,,,29.9,85.82,
448,6/8/2015,,Working Day,,,North Waziristan,32.9746379,70.1455,FATA,near the Afghan border in Pakistan's restive North Waziristan tribal area,,,,The clashes were marked by an intense exchange of fire between security forces and militants-the report added. Of the 19 militants killed-five were militant commanders. The seven soldiers were killed when one of the militants detonated a suicide vest while being chased by troops.,,,7,19,,,,,26.82,80.28,
449,6/11/2015,,Working Day,,,Peshawar,34.0043,71.5448,KPK,Peshawars Hayatabad area,,,,,,,1,2,4,7,,,30.58,87.04,
450,6/29/2015,,Working Day,,,Lahore,,,Punjab,A house in Sheikhupura district,,,,,,,1,4,,,,,,,
451,7/17/2015,,Holiday,,,Quetta,,,Balochistan,Entrance of a Shiite neighborhood in southwestern Pakistan,,,,a suicide attacker has detonated his explosive vest at the entrance of a Shiite neighborhood in southwestern Pakistan killing one security guard.,,,1,1,,,,,,,
452,8/16/2015,,Holiday,,,Attock,33.768734,72.362147,Punjab,Political office in Attocks Shadi Khan area,,,,Punjab home minister Colonel (retd) Shuja Khanzada was killed in a suicide attack on his political office in Shadi Khan village Attock Sunday along with 16 others.,,,16,19,23,25,,,28.66,83.58,
453,8/27/2015,,Working Day,,,Multan,30.193636,71.449009,Punjab,house in the town of Pir Mahal,,,,,,,4,4,,2,,,33.58,92.44,
454,9/1/2015,,Working Day,,,Khyber Agency,34.021103,71.287421,KPK,a local government office in Jamrud Bazaar area   Khyber Agency,,,,,,,3,6,50,56,,Hayatabad Medical Complex,28.22,82.8,
455,9/20/2015,,Holiday,,,Karachi,24.879503,67.174575,Sindh,Residential Building in Rafah-e-Aam Society in Karachi,Residential,Low,Closed,A suicide bomber blew himself up during a joint action by police and Rangers early on Sunday morning in Rafah-e-Aam Society in Karachi. The blast injured 2 police officers. The attackers were scheming for terrorist activities on Eid-ul-Azha.,Police & Rangers,,1,,2,,1,,35,95,
456,10/14/2015,,Working Day,,,Taunsa,30.712665,70.658161,Punjab,At PoliticalParty MP's office on College road Taunsa DGK.,,,,Public meeting with MPA was targeted at political party office.,,,7,,10,20,1,,29.11,84.4,13
457,10/22/2015,,Holiday,Ashura Holiday,,Quetta,30.182971,66.998734,Balochistan,Shiite mosque in southwest Pakistan's Sibi district,Religious,,Closed,"Attack took place when the Shiites were holding a gathering ahead of the Ashoura, a key religious event.",Religious,Shia,10,11,12,15,1,Bhag Hospital,16.25,61.25,
458,10/23/2015,,Holiday,Ashura Holiday,,Jacobabad,28.274681,68.712889,Sindh,Attack on Muharram Procession in Jacobabad near Lashari Muhalla,,,,Attack on Muharram procession,Religious,Shia,22,23,40,40,,Jacobabad Civil Hospital,28.59,83.46,
459,12/29/2015,,Working Day,,,Mardan,34.200114,72.050801,KPK,NADRA office Nisatta Road  Mardan,Government,,,,Civilian,,21,26,50,56,,district headquarters hospitaldistrict headquarters hospital,13.53,56.35,8
460,1/13/2016,,Working Day,,,Quetta,30.165686,67.00178,Balochistan,Polio centre in Satellite town Quetta,,,,Attack on Polio Centre,Civilian & Police,,15,15,25,36,,"Civil Hospital, CMH",6.86,44.34,8
461,1/19/2016,,Working Day,,,Peshawar,33.999533,71.42502,KPK,check post in Karkhano Market- adjacent to Jamrud in Khyber Agency,,,,Attack on Check Post,,,10,12,20,25,1,Hayatabad Medical Complex,11.64,52.96,
462,1/29/2016,,Working Day,,,Zhob,31.341261,69.448659,Balochistan,Suicide Bomber Attacks Army Facility,,,,,Army,,0,0,5,6,1,Civil Hospital Zhob,11.12,52.02,
463,2/6/2016,,Working Day,,,Quetta,30.199805,67.010157,Balochistan,Attack on vehicle of Frontier Corps  near Liaquat Park Quetta,,,,Attack on vehicle of Frontier Corps,Frontier Corps,,9,11,30,35,1,Civil Hospital Quetta- CMH,9.94,49.9,10
464,3/7/2016,,Working Day,,,Shabqadar-Charsadda,34.149433,71.742781,KPK,Attack outside of session court in Shab-Qadar Charsadda,,,,,,,10,20,27,31,1,Lady Reading Hospital,16.72,62.09,
465,3/27/2016,,Holiday,,,Lahore,31.51293,74.28899,Punjab,Attack in children's play area of Park in Lahore,,,,,,Christian,70,72,233,300,1,"Jinnah Hospital,Sheikh Zaid Hospital,Services Hospital,Farooq Hospital,Meo Hospital,Bajwa Hospital",22.56,72.62,10
466,4/16/2016,8 Rajab 1437 A.H.,Working Day,,,Khyber Agency,34.047839,71.28436,FATA,Hujra of Said Jamal in the Kharko Sarhgi area in the Zakhakhel tehsil of Khyber Agency,Residence,High,Closed,,Civilian,,2,2,0,0,1,,25.4,77.73,
467,4/19/2016,10 Rajab 1437 A.H.,Working Day,,,Mardan,34.207854,72.049453,KPK,Mardan Excise and Taxation Department located in Cantonment Area on Mall Road in Mardan District,Government,High,Closed,Attack on Mardan Excise and Taxation Department,Government Official,,1,1,10,18,1,,23.1,73.59,10
468,5/30/2016,22 Shaban 1437 A.H.,Working Day,,,Mardan,34.195682,72.037771,KPK,Mardan City Police Station,Police,High,Open,"Attack on City Police Station, Mardan",Police,,1,1,12,15,1,Mardan district hospital.,30.02,86.04,10
469,8/8/2016,05 Zeqad 1437 A.H.,Working Day,,,Quetta,30.194225,67.008822,Balochistan,"Civil Hospital, Quetta",Government,High,Closed,The fatalities were mainly advocates,Lawyers/Advocates,,70,70,112,120,,,29.58,85.25,8
470,9/2/2016,29 Zeqad 1437 A.H.,Working Day,,5:50 AM,Mardan,34.195776,72.036565,KPK,Mardan District Court,Government,High,Closed,"Attack on District Court, Mardan",Civilian,,13,14,52,60,1,,27.8,82.05,6
471,9/13/2016,10 Zilhaj 1437 A.H.,Holiday,Eid Ul Azha Holiday,7:30 AM,Shikarpur,28.002718,68.730383,Sindh,Imambargah,Religious,High,Closed,Attack on Shia Imambargah on Eid ul Azha Prayer,Religious,Shia,0,0,10,13,,,31.94,89.5,
472,9/16/2016,13 Zilhaj 1437 A.H.,Working Day,,1:30 PM,Mohmand Agency,34.400331,71.560424,FATA,"Jamea Masjid, Pai Khan",Religious,High,Closed,Attack on Masjid During Jumma Prayer,Religious,,16,36,22,,1,District Headquarters Hospital (DHQ) Bajaur Agency,28.68,83.62,
473,10/25/2016,23 MuHarram 1438 A.H.,Working Day,,12:00 AM,Quetta,30.14283,66.98195,Balochistan,police training center,Government,High,Closed,"Attack on Police Training Center, Saryab Road, Quetta",Police,,58,61,100,165,2,,14.54,58.18,10
474,11/12/2016,11 safar 1438 A.H.,Weekend,,6:00 PM,Khuzdar,25.776775,67.02239,Balochistan,Dargah Shah Noorani Shrine,Religious,High,Closed,Attack on Dargah Shah Noorani in Khuzdar district,Civilian,,45,52,100,100,1,"Hub, Khuzdar, Lasbella and Civil Hospital in Karachi",,,
475,11/26/2016,25 safar 1438 A.H.,Weekend,,6:00 AM,Mohmand Agency,34.325826,71.398789,FATA,FC Check Post,Military,High,Open,"Attack Camp of Mohmand Rifles in Mohmand Agency Headquarters, Ghalani, Mohmand Agency",Military,,2,2,14,14,4,,17.63,63.73,
476,2/7/2017,09 Jamadi-ul-Awal 1438 A.H.,Working Day,,5:00 AM,Bannu,32.949814,70.60908,KPK,"Police Station Mandan, Bannu",Police,High,Open,"Attack on Mandan Police Station, Bannu",Police,,0,0,2,2,1,DHQ Hospital Bannu,19,,20
477,2/13/2017,16 Jumada al-awwal 1438 A.H,Working Day,,6:00 PM,Lahore,31.555382,74.331873,Punjab,"Mall road, Lahore",Government,High,Open,Attack on pharmaceutical protest,Civilian,,14,18,83,90,1,1. Mayo Hospital 2. Sir Ganga Ram Hospital,16.26,61.26,
478,2/15/2017,19 Jumada al-awwal 1438 A.H,Working Day,,8:00 AM,"Ghallanai, Mohmand Agency",34.5,71.333333,FATA,"main gate of Mohmand Agency headquarters, Ghallanai",Commercial/Residential,High,Open,Attack on paramilitary HQ,Army,,5,8,0,3,1,Lady Reading Hospital,11.12,52.01,
479,2/15/2017,19 Jumada al-awwal 1438 A.H,Working Day,,3:30 PM,Hayatabad,33.986111,71.456944,KPK,Hayatabad Medical Complex,Commercial/Residential,Medium,Open,inauguration of the Out Patient Department (OPD) at the Hayatabad Medical Complex,Judges,,1,1,4,18,1,Hayatabad Medical Complex,16.63,61.93,15
480,2/15/2017,19 Jumada al-awwal 1438 A.H,Working Day,,9:00 AM,"Mosal Kor, Mohmand Agency",34.553808,71.434141,FATA,Office of political agent,Government,High,,,Government Official,,1,1,0,0,1,,,,
481,2/16/2017,20 Jumada al-awwal 1438 A.H,Working Day,,6:00 PM,Sehwan Town,26.419314,67.859373,Sindh,Lal Shahbaz Qalandar shrine,Religious,High,Closed,Attack on shia community,Shia Sect,Shia,70,72,150,200,1,1. Sehwan Taluka Hospital 2. Combined Military Hospital Hyderabad,23.71,74.68,
482,2/21/2017,25 Jumada al-awwal 1438 A.H,Working Day,,9:00 AM,"Tangi, Charsadda District",34.3,71.653889,KPK,Court,Government,High,Closed,Attack on lawyers and judges,Judges & Lawyers,,6,7,15,20,2,Lady Reading Hospital,11.18,52.12,
483,4/5/2017,08 Rajab 1438 A.H,Working Day,,7:15 AM,Lahore,31.463017,74.435675,Punjab,Bedian Road,,Low,Open,Population Census Team,Military,,6,7,19,22,,"Combined Military Hospital (CMH), General Hospital",29,84.2,
484,5/12/2017,15 Shaban 1438 A.H,Working Day,,2:30 PM,Quetta,29.800833,66.848056,Balochistan,Town of Mastung,,Low,Open,Sucide bomber wearing an explosive vest carried out the attack.,Government Official,,25,28,35,37,1,,44,111,
485,5/20/2017,23 Shaban 1438 A.H,Weekend,,,Kohat,33.38752,71.340408,KPK,Kamal khel area near lachi kohat,Police,Low,Open,Terrorist ambushed a police party while it was on its way to arrest criminals,Police,,1,4,0,0,,,37,99,
486,6/23/2017,27 RamaDHaan 1438 A.H,Working Day,,1:30 PM,Quetta,33.88423,70.10878,Balochistan,Parachinar town in the restive tribal bel,Religious,Low,Open,Suicide bombers targeting the capital of Balochistan province and the Shia-majority Parachinar town days before the end of the holy month of Ramzan.,Shia Sect,Shia,30,85,100,100,3,,36,97,75
487,7/10/2017,16 SHawwal 1438 A.H,Working Day,,11:43 AM,Chaman,30.90983,66.452402,Balochistan,Boghra Road,,Low,Open,Sucide bomber wearing an explosive vest carried out the attack.,Police,,1,3,1,11,1,,38,100,
488,7/17/2017,22 Shawaal 1438 A.H,Working Day,,,Peshawar,34.015,71.5805,KPK,near the Afghan border,Military,High,Open,suicide bomber riding on a motorcycle hit a Frontier Corps vehicle in Peshawar,Military,,1,2,1,7,1,,37,98,
489,7/17/2017,22 Shawaal 1438 A.H,Working Day,,,Peshawar,34.015,71.5805,KPK,southwestern Chaman province,Military,High,Open,bomb struck in southwestern Chaman province,Military,,1,1,1,1,1,,37,98,
490,7/24/2017,29 Shawaal 1438 A.H,Working Day,,3:55 PM,Lahore,31.500875,74.33312,Punjab,near Arfa Karim IT Tower Ferozepur Road,,Medium,Open,,Police,,26,27,56,56,1,"Jinnah Hospital, General Hospital, Ittefaq Hospital",32,88,
491,8/12/2017,12 Zeqad 1438 A.H.,Weekend,,5:00 PM,Quetta,30.203658,67.004469,Balochistan,Pishin bus stop,,Medium,Open,the attacker had been carrying 25kg of incendiary explosives on a motorcycle that he had rammed into the military truck,Military,,15,15,40,40,1,,29,,25
492,10/5/2017,13 MuHarram 1439 A.H,Working Day,,,Quetta,28.571051,67.496895,Balochistan,Fateh Pur Shrine in Jhal Magsi village,Religious,High,Open/Closed,at the entrance of shrine,Civilian,,21,22,25,,1,"Larkana Hospital, Gandawah District Headquarters Hospital, 1 shifted to Aga Khan Hospital KHI",27.8,81,
493,10/19/2017,27 MuHarram 1439 A.H,Working Day,,8:00 AM,Quetta,,,Balochistan,Sariab Mill area,Highway,Low,Open,explosives-laden vehicle rammed into a security forces convoy on the Quetta-Sibi Highway,Police,,7,7,22,22,1,,26,79,
494,11/9/2017,19 Safar 1439 A.H,Working Day,,7:00 AM,Quetta,30.221057,67.002524,Balochistan,Quetta's Chaman Housing Scheme on airport road,Police,Low,Open,AIG Hamid Shakils vehicle,Police,,2,2,8,8,1,"Combined Military Hospital (CMH)-(Quetta), Civil Hospital(Quetta)",25,77,15
495,11/24/2017,5 Rabi Al-Awwal 1439 A.H,Working Day,,7:00 AM,Peshawar,33.970623,71.43862,KPK,"Near Zarghuni Masjid, Phase-2 Hayatabad",Police,Low,Open,a police vehicle of AIG Asharf Noor,Police,,1,3,6,8,1,Hayatabad Medical Complex(Peshawar),22,72,20
496,11/25/2017,6 Rabi Al-Awwal 1439 A.H,Working Day,,7:00 AM,Quetta,30.139626,66.981476,Balochistan,"Sariab Road, near Bus terminal",Military,Medium,Open,"transport for a colonel in Pakistan's armed forces, was parked near a bus terminal",Military,,4,4,16,22,1,Civil Hospital(Quetta),29,84,10
