S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
236,1/1/2010,15 MuHarram 1431 A.H,Working Day,,5:00 PM,Lakki Marwat,32.6018,70.9148,KPK,Peshawar shah Hasankhel village ground,Park/Ground,Medium,Open,,Civilian,,88,100,37,100,1,Near local hospital,6.8,44.25,250
237,1/6/2010,20 MuHarram 1431 A.H,Working Day,,6:50 AM,Sudhanoti,33.706,73.7242,AJK,Military Base in tarar khal town sudhanoti district,Military,High,Open,,Military,,,4,11,12,1,CMH Rawala kot,11.39,52.5,
238,1/8/2010,22 MuHarram 1431 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,at the gate of the headquarters of the militant group Ansar-ul-Islam in the Tirah area,Religious,Low,Open,Ansar-ul-Islam (AI) Shura,Religious,,,8,,11,1,,11.33,52.39,
239,1/8/2010,22 MuHarram 1431 A.H,Working Day,,,Peshawar,34.0043,71.5448,KPK,Adezai village in Matni on the outskirts of Peshawar,Police,High,Open,,Police,,,0,,6,1,,12.08,53.74,
240,1/16/2010,30 MuHarram 1431 A.H,Working Day,,10:00 AM,Poonch,33.8243,73.7949,AJK,Dothan village near rawlakot,Security Forces,High,Open,,Police,,,1,1,2,1,CMH Rawala kot,12.41,54.34,600
241,1/23/2010,8 safar 1431 A.H,Working Day,,,Tank,32.226,70.3761,KPK,gomal police station,Police,High,Open,,Police,,4,5,3,11,1,,6.02,42.83,
242,1/29/2010,14 safar 1431 A.H,Working Day,,,Bajaur Agency,34.8718,71.5249,FATA,Bajor agency headquarter (khar town) security check post,Military,High,Open,,Military,,16,17,26,47,1,District headquarter hospital Timra,6.9,44.43,
243,2/10/2010,26 safar 1431 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,Jamrud tehsil Khyber agency,Security Forces,High,Open,,Military,,17,22,6,11,1,1.Hayatabad Meical hospital,8.07,46.53,
244,2/11/2010,27 safar 1431 A.H,Working Day,,MAGHRIB PRAYERS,Bannu,32.9861,70.6042,KPK,Bannu police Lines 2-,Police,High,Open,,Police,,,15,25,30,2,1.District Headquarter Hospital Bannu 2.Combined Military Hospital,2.32,36.18,
245,2/18/2010,4 Raby` al-awal 1431 A.H,Working Day,,,Khyber Agency,34.0211,71.2874,KPK,LI center near Darss Mosque in akakhel area of Tirah valley,Religious,Medium,Open,Lashkar-e-Islam Commander was the target,Anti-Militants,Sunni,22,31,30,110,1,Mashte hospital,11.84,53.3,40
